,Departure date,Return date,Nights Count,Departure from,Departure to,Departure air company,Departure duration,Return from,Return to,Return air company,Return duration,Price
26,Tue 3 Oct,Mon 9 Oct,6,"00:45 Belgrade Belgrade Nikola Tesla
(BEG)","03:15 Athens Athens International
(ATH)",Air Serbia,1h 30m,"04:35 Athens Athens International
(ATH)","05:15 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 30m,115 €
27,Wed 18 Oct,Tue 24 Oct,6,"17:10 Belgrade Belgrade Nikola Tesla
(BEG)","19:50 Barcelona Barcelona–El Prat
(BCN)",Air Serbia,2h 40m,"09:55 Barcelona Barcelona–El Prat
(BCN)","12:25 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,2h 40m,90 €
28,Wed 18 Oct,Mon 23 Oct,5,"11:55 Belgrade Belgrade Nikola Tesla
(BEG)","13:50 Malta Malta International
(MLA)",Air Serbia,1h 55m,"15:45 Malta Malta International
(MLA)","17:40 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h 55m,89 €
29,Mon 16 Oct,Sat 21 Oct,5,"13:05 Belgrade Belgrade Nikola Tesla
(BEG)","14:40 Munich Munich
(MUC)",Lufthansa,1h 35m,"10:50 Munich Munich
(MUC)","12:20 Belgrade Belgrade Nikola Tesla
(BEG)",Lufthansa,1h 35m,142 €
30,Wed 7 Jun,Mon 12 Jun,5,"17:50 Belgrade Belgrade Nikola Tesla
(BEG)","19:50 Kraków John Paul II International Airport Kraków–Balice
(KRK)",Air Serbia,2h,"09:10 Kraków John Paul II International Airport Kraków–Balice
(KRK)","11:00 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,2h,120 €
31,Mon 26 Jun,Sun 2 Jul,6,"06:30 Belgrade Belgrade Nikola Tesla
(BEG)","08:30 Kraków John Paul II International Airport Kraków–Balice
(KRK)",Air Serbia,2h,"20:30 Kraków John Paul II International Airport Kraków–Balice
(KRK)","22:20 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,2h,139 €
32,Mon 5 Jun,Sun 11 Jun,6,"06:30 Belgrade Belgrade Nikola Tesla
(BEG)","08:30 Kraków John Paul II International Airport Kraków–Balice
(KRK)",Air Serbia,2h,"20:30 Kraków John Paul II International Airport Kraków–Balice
(KRK)","22:20 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,2h,141 €
33,Fri 16 Jun,Wed 21 Jun,5,"06:30 Belgrade Belgrade Nikola Tesla
(BEG)","08:30 Kraków John Paul II International Airport Kraków–Balice
(KRK)",Air Serbia,2h,"09:10 Kraków John Paul II International Airport Kraków–Balice
(KRK)","11:00 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,2h,147 €
34,Mon 16 Oct,Sun 22 Oct,6,"18:25 Belgrade Belgrade Nikola Tesla
(BEG)","20:45 Copenhagen Airport Copenhagen
(CPH)",Wizz Air,2h 20m,"21:05 Copenhagen Airport Copenhagen
(CPH)","23:20 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,2h 20m,134 €
35,Wed 6 Sep,Mon 11 Sep,5,"18:10 Belgrade Belgrade Nikola Tesla
(BEG)","20:30 Copenhagen Airport Copenhagen
(CPH)",Wizz Air,2h 20m,"21:20 Copenhagen Airport Copenhagen
(CPH)","23:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,2h 20m,134 €
36,Sat 16 Sep,Thu 21 Sep,5,"00:35 Belgrade Belgrade Nikola Tesla
(BEG)","01:35 Tirana Tirana International Airport Nënë Tereza
(TIA)",Air Serbia,1h,"15:05 Tirana Tirana International Airport Nënë Tereza
(TIA)","16:20 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h,136 €
37,Fri 6 Oct,Thu 12 Oct,6,"00:35 Belgrade Belgrade Nikola Tesla
(BEG)","01:50 Tirana Tirana International Airport Nënë Tereza
(TIA)",Air Serbia,1h,"04:00 Tirana Tirana International Airport Nënë Tereza
(TIA)","05:15 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h,136 €
38,Fri 15 Sep,Thu 21 Sep,6,"00:35 Belgrade Belgrade Nikola Tesla
(BEG)","01:50 Tirana Tirana International Airport Nënë Tereza
(TIA)",Air Serbia,1h,"15:05 Tirana Tirana International Airport Nënë Tereza
(TIA)","16:20 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h,136 €
39,Thu 5 Oct,Tue 10 Oct,5,"13:20 Belgrade Belgrade Nikola Tesla
(BEG)","14:35 Tirana Tirana International Airport Nënë Tereza
(TIA)",Air Serbia,1h,"04:15 Tirana Tirana International Airport Nënë Tereza
(TIA)","05:30 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,1h,136 €
40,Wed 29 Nov,Tue 5 Dec,6,"06:25 Belgrade Belgrade Nikola Tesla
(BEG)","08:05 Milan Milan Bergamo International Airport
(BGY)",Wizz Air,1h 40m,"08:40 Milan Milan Bergamo International Airport
(BGY)","10:15 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 40m,122 €
41,Wed 25 Oct,Tue 31 Oct,6,"13:00 Belgrade Belgrade Nikola Tesla
(BEG)","14:40 Milan Milan Bergamo International Airport
(BGY)",Wizz Air,1h 40m,"08:40 Milan Milan Bergamo International Airport
(BGY)","10:15 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 40m,123 €
42,Thu 26 Oct,Tue 31 Oct,5,"13:20 Belgrade Belgrade Nikola Tesla
(BEG)","15:00 Milan Milan Bergamo International Airport
(BGY)",Wizz Air,1h 40m,"08:40 Milan Milan Bergamo International Airport
(BGY)","10:15 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 40m,123 €
43,Thu 26 Oct,Wed 1 Nov,6,"13:20 Belgrade Belgrade Nikola Tesla
(BEG)","15:00 Milan Milan Bergamo International Airport
(BGY)",Wizz Air,1h 40m,"08:40 Milan Milan Bergamo International Airport
(BGY)","10:15 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 40m,123 €
44,Tue 23 Jan,Sun 28 Jan,5,"06:25 Belgrade Belgrade Nikola Tesla
(BEG)","08:05 Milan Milan Bergamo International Airport
(BGY)",Wizz Air,1h 40m,"17:40 Milan Milan Bergamo International Airport
(BGY)","19:15 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 40m,126 €
45,Sun 4 Feb,Sat 10 Feb,6,"15:25 Belgrade Belgrade Nikola Tesla
(BEG)","17:05 Milan Milan Bergamo International Airport
(BGY)",Wizz Air,1h 40m,"08:40 Milan Milan Bergamo International Airport
(BGY)","10:15 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 40m,126 €
46,Wed 7 Feb,Tue 13 Feb,6,"06:25 Belgrade Belgrade Nikola Tesla
(BEG)","08:05 Milan Milan Bergamo International Airport
(BGY)",Wizz Air,1h 40m,"08:40 Milan Milan Bergamo International Airport
(BGY)","10:15 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 40m,126 €
47,Tue 6 Feb,Sun 11 Feb,5,"06:25 Belgrade Belgrade Nikola Tesla
(BEG)","08:05 Milan Milan Bergamo International Airport
(BGY)",Wizz Air,1h 40m,"17:40 Milan Milan Bergamo International Airport
(BGY)","19:15 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 40m,126 €
48,Mon 9 Oct,Sun 15 Oct,6,"18:30 Belgrade Belgrade Nikola Tesla
(BEG)","20:25 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"15:45 Berlin Berlin Brandenburg
(BER)","17:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,143 €
49,Wed 27 Sep,Mon 2 Oct,5,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"21:00 Berlin Berlin Brandenburg
(BER)","22:50 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,143 €
50,Wed 11 Oct,Mon 16 Oct,5,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"16:00 Berlin Berlin Brandenburg
(BER)","17:50 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,143 €
51,Fri 29 Sep,Wed 4 Oct,5,"13:30 Belgrade Belgrade Nikola Tesla
(BEG)","15:25 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"15:45 Berlin Berlin Brandenburg
(BER)","17:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,143 €
52,Wed 13 Sep,Mon 18 Sep,5,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"16:00 Berlin Berlin Brandenburg
(BER)","17:50 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,143 €
53,Wed 24 Jan,Mon 29 Jan,5,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"15:45 Berlin Berlin Brandenburg
(BER)","17:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,146 €
54,Fri 1 Dec,Wed 6 Dec,5,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"15:45 Berlin Berlin Brandenburg
(BER)","17:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,146 €
55,Fri 9 Feb,Wed 14 Feb,5,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"15:45 Berlin Berlin Brandenburg
(BER)","17:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,146 €
56,Wed 8 Nov,Mon 13 Nov,5,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"15:45 Berlin Berlin Brandenburg
(BER)","17:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,146 €
57,Fri 26 Jan,Wed 31 Jan,5,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"15:45 Berlin Berlin Brandenburg
(BER)","17:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,146 €
58,Wed 17 Jan,Mon 22 Jan,5,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"15:45 Berlin Berlin Brandenburg
(BER)","17:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,146 €
59,Mon 19 Feb,Sun 25 Feb,6,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"15:45 Berlin Berlin Brandenburg
(BER)","17:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,146 €
60,Fri 2 Feb,Wed 7 Feb,5,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"15:45 Berlin Berlin Brandenburg
(BER)","17:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,146 €
61,Sun 18 Feb,Fri 23 Feb,5,"13:15 Belgrade Belgrade Nikola Tesla
(BEG)","15:10 Berlin Berlin Brandenburg
(BER)",Wizz Air,1h 55m,"15:45 Berlin Berlin Brandenburg
(BER)","17:35 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 55m,146 €
62,Mon 2 Oct,Sun 8 Oct,6,"06:05 Belgrade Belgrade Nikola Tesla
(BEG)","09:00 Oslo Oslo Airport, Gardermoen
(OSL)",Air Serbia,2h 55m,"20:45 Oslo Oslo Airport, Gardermoen
(OSL)","23:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,2h 55m,136 €
63,Mon 16 Oct,Sun 22 Oct,6,"06:05 Belgrade Belgrade Nikola Tesla
(BEG)","09:00 Oslo Oslo Airport, Gardermoen
(OSL)",Air Serbia,2h 55m,"20:45 Oslo Oslo Airport, Gardermoen
(OSL)","23:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,2h 55m,136 €
64,Fri 29 Sep,Thu 5 Oct,6,"17:20 Belgrade Belgrade Nikola Tesla
(BEG)","20:15 Oslo Oslo Airport, Gardermoen
(OSL)",Air Serbia,2h 55m,"09:45 Oslo Oslo Airport, Gardermoen
(OSL)","12:35 Belgrade Belgrade Nikola Tesla
(BEG)",Air Serbia,2h 55m,147 €
65,Sun 13 Aug,Fri 18 Aug,5,"06:15 Belgrade Belgrade Nikola Tesla
(BEG)","07:50 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,106 €
66,Fri 11 Aug,Wed 16 Aug,5,"06:10 Belgrade Belgrade Nikola Tesla
(BEG)","07:45 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,106 €
67,Fri 30 Jun,Wed 5 Jul,5,"06:10 Belgrade Belgrade Nikola Tesla
(BEG)","07:45 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,110 €
68,Mon 10 Jul,Sun 16 Jul,6,"06:10 Belgrade Belgrade Nikola Tesla
(BEG)","07:45 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:25 Rome Ciampino–G. B. Pastine International
(CIA)","10:00 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,113 €
69,Sun 23 Jul,Fri 28 Jul,5,"06:15 Belgrade Belgrade Nikola Tesla
(BEG)","07:50 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,114 €
70,Sun 9 Jul,Fri 14 Jul,5,"06:15 Belgrade Belgrade Nikola Tesla
(BEG)","07:50 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,116 €
71,Sun 20 Aug,Fri 25 Aug,5,"06:15 Belgrade Belgrade Nikola Tesla
(BEG)","07:50 Rome Ciampino–G. B. Pastine International
(CIA)",Wizz Air,1h 35m,"08:20 Rome Ciampino–G. B. Pastine International
(CIA)","09:55 Belgrade Belgrade Nikola Tesla
(BEG)",Wizz Air,1h 35m,118 €
